NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
PCDHGA11,PCDHGA11,null,null,0.028599765
ASH1L,ASH1L,null,null,0.028528996
GLI4,GLI4,null,null,0.028484182
ZNF646,ZNF646,null,null,0.028420307
LRRC57,LRRC57,null,null,0.028401123
MCRIP2,MCRIP2,null,null,0.028367758
RNF114,RNF114,null,null,0.028352326
TAX1BP1,TAX1BP1,null,null,0.028338613
COQ9,COQ9,null,null,0.028321434
RASSF1,RASSF1,null,null,0.028311128
NCOA2,NCOA2,null,null,0.028304305
UBE2Q1,UBE2Q1,null,null,0.028304184
TNRC18,TNRC18,null,null,0.028266462
PBDC1,PBDC1,null,null,0.028263478
MED12,MED12,null,null,0.0282057
ASPH,ASPH,null,null,0.028173631
SIPA1L1,SIPA1L1,null,null,0.028160905
KANSL3,KANSL3,null,null,0.028132863
BBS2,BBS2,null,null,0.028078182
ANXA7,ANXA7,null,null,0.028071208
FZD3,FZD3,null,null,0.028059075
MYL6,MYL6,null,null,0.02804766
DPY30,DPY30,null,null,0.028046152
GOLGA4,GOLGA4,null,null,0.02798329
ICMT,ICMT,null,null,0.02797999
IFNLR1,IFNLR1,null,null,0.02797632
MTCH1,MTCH1,null,null,0.027972447
YIF1A,YIF1A,null,null,0.027952546
ETV6,ETV6,null,null,0.027938584
CCNI,CCNI,null,null,0.027918255
PPM1F,PPM1F,null,null,0.027885228
NFRKB,NFRKB,null,null,0.027862705
ERMP1,ERMP1,null,null,0.02785762
PNRC1,PNRC1,null,null,0.027784025
SLC2A8,SLC2A8,null,null,0.027776567
CXorf21,CXorf21,null,null,0.027761675
URGCP-MRPS24,URGCP-MRPS24,null,null,0.027749894
UBE2V2,UBE2V2,null,null,0.027736569
FBXW9,FBXW9,null,null,0.027720075
KLHL24,KLHL24,null,null,0.027717832
KIF24,KIF24,null,null,0.027709963
MRTO4,MRTO4,null,null,0.027686775
SLMAP,SLMAP,null,null,0.027668685
EIF1B,EIF1B,null,null,0.027636236
DYNLRB1,DYNLRB1,null,null,0.027634146
SLC30A9,SLC30A9,null,null,0.027615651
RPL27,RPL27,null,null,0.027614562
GOLPH3,GOLPH3,null,null,0.027572753
PEX19,PEX19,null,null,0.027555222
RPL18A,RPL18A,null,null,0.027548688
BTBD1,BTBD1,null,null,0.027520474
CTSB,CTSB,null,null,0.027497904
TRIM44,TRIM44,null,null,0.027495814
KAT6A,KAT6A,null,null,0.027495362
FIG4,FIG4,null,null,0.027489893
ELAC1,ELAC1,null,null,0.027464146
UNK,UNK,null,null,0.027434295
PITHD1,PITHD1,null,null,0.027425608
TPGS2,TPGS2,null,null,0.027398044
UVSSA,UVSSA,null,null,0.027374685
PACS2,PACS2,null,null,0.02734967
PNPLA2,PNPLA2,null,null,0.027313117
NDUFB8,NDUFB8,null,null,0.027310321
ZDHHC20,ZDHHC20,null,null,0.027298132
CYB5D1,CYB5D1,null,null,0.027244005
TNFAIP3,TNFAIP3,null,null,0.027215332
BSDC1,BSDC1,null,null,0.027210925
PLAGL2,PLAGL2,null,null,0.027208587
ENTPD4,ENTPD4,null,null,0.027202593
NME6,NME6,null,null,0.027200498
IKZF5,IKZF5,null,null,0.027199656
COG1,COG1,null,null,0.027175585
RPL23A,RPL23A,null,null,0.027169043
ATP5MC2,ATP5MC2,null,null,0.027152518
TSHZ1,TSHZ1,null,null,0.027131831
NLE1,NLE1,null,null,0.027125645
ZNF771,ZNF771,null,null,0.027115779
SLC39A9,SLC39A9,null,null,0.027081836
HLA-B,HLA-B,null,null,0.027081482
UAP1,UAP1,null,null,0.027072404
CEP85,CEP85,null,null,0.027068023
ANAPC10,ANAPC10,null,null,0.027041163
ERP44,ERP44,null,null,0.027034476
UNC119B,UNC119B,null,null,0.02699433
ZNF197,ZNF197,null,null,0.026985932
CAMSAP3,CAMSAP3,null,null,0.026980182
TIMM8B,TIMM8B,null,null,0.026949821
MRPL32,MRPL32,null,null,0.026937548
OSR2,OSR2,null,null,0.026917115
PPM1D,PPM1D,null,null,0.026898295
CHKA,CHKA,null,null,0.026897335
GTF2E1,GTF2E1,null,null,0.026883936
RPS13,RPS13,null,null,0.026879987
TCHP,TCHP,null,null,0.026856083
BCL6,BCL6,null,null,0.02684681
TMEM59,TMEM59,null,null,0.02683374
GNB2,GNB2,null,null,0.026790792
NFYA,NFYA,null,null,0.026766906
KIAA0100,KIAA0100,null,null,0.026761115
LETM1,LETM1,null,null,0.026758984
NCKAP5L,NCKAP5L,null,null,0.026689632
NDUFAF2,NDUFAF2,null,null,0.026651634
TMEM127,TMEM127,null,null,0.02664215
NR1D2,NR1D2,null,null,0.0266238
SNX13,SNX13,null,null,0.026611833
MORC2,MORC2,null,null,0.026607575
BMP2K,BMP2K,null,null,0.026560854
PAG1,PAG1,null,null,0.026559852
FAM50A,FAM50A,null,null,0.026557889
ELK4,ELK4,null,null,0.026488623
STAM2,STAM2,null,null,0.026487628
CNIH4,CNIH4,null,null,0.026483087
CUTC,CUTC,null,null,0.026436051
ISOC2,ISOC2,null,null,0.026424399
RGS19,RGS19,null,null,0.02640084
RPS6,RPS6,null,null,0.026389243
NRSN2,NRSN2,null,null,0.026381582
LRRC8A,LRRC8A,null,null,0.026358401
NABP2,NABP2,null,null,0.026337733
TADA3,TADA3,null,null,0.026305556
UBE2D2,UBE2D2,null,null,0.026299808
MRPL15,MRPL15,null,null,0.026273469
SMIM10L1,SMIM10L1,null,null,0.026250636
EDEM2,EDEM2,null,null,0.026214728
CKS2,CKS2,null,null,0.026212161
ZNF189,ZNF189,null,null,0.026200665
MAP3K1,MAP3K1,null,null,0.026193442
C16orf58,C16orf58,null,null,0.026188662
TRAPPC6A,TRAPPC6A,null,null,0.02616144
RAP1A,RAP1A,null,null,0.026160335
RAPGEF1,RAPGEF1,null,null,0.02612511
FAM83G,FAM83G,null,null,0.026102317
RPS19,RPS19,null,null,0.026095418
HABP4,HABP4,null,null,0.026088737
C2CD2L,C2CD2L,null,null,0.026085518
CSPP1,CSPP1,null,null,0.02608168
PTBP3,PTBP3,null,null,0.0260724
TUBD1,TUBD1,null,null,0.026058124
POLR2J,POLR2J,null,null,0.026049046
UNC13D,UNC13D,null,null,0.026045905
ARL8B,ARL8B,null,null,0.026015637
ZFHX3,ZFHX3,null,null,0.025996547
MTCH2,MTCH2,null,null,0.025995284
PLEKHA8,PLEKHA8,null,null,0.025984192
CCDC58,CCDC58,null,null,0.025978336
RGL2,RGL2,null,null,0.025977109
NEIL1,NEIL1,null,null,0.025959574
PPP4R3A,PPP4R3A,null,null,0.025953038
LAMP1,LAMP1,null,null,0.025948122
C18orf21,C18orf21,null,null,0.025926486
CHURC1,CHURC1,null,null,0.02589857
ELL,ELL,null,null,0.025898222
ABCC10,ABCC10,null,null,0.025897875
UBE2C,UBE2C,null,null,0.025868014
TRIM21,TRIM21,null,null,0.025844272
DENND5B,DENND5B,null,null,0.025772821
WDCP,WDCP,null,null,0.025758056
DEAF1,DEAF1,null,null,0.025743991
MAP4K3,MAP4K3,null,null,0.025742406
PCM1,PCM1,null,null,0.02566442
SLC35C2,SLC35C2,null,null,0.025629902
GEN1,GEN1,null,null,0.025627682
IGFLR1,IGFLR1,null,null,0.025606418
BRD3,BRD3,null,null,0.02559056
GLB1,GLB1,null,null,0.02558963
ZBTB17,ZBTB17,null,null,0.025563812
POLB,POLB,null,null,0.025528276
SEL1L3,SEL1L3,null,null,0.02550908
WDR36,WDR36,null,null,0.025455125
PRR12,PRR12,null,null,0.02545251
VPS4A,VPS4A,null,null,0.025403254
FBXO7,FBXO7,null,null,0.02538039
C16orf72,C16orf72,null,null,0.02537418
GCAT,GCAT,null,null,0.025374016
SEC22B,SEC22B,null,null,0.025324315
MIB1,MIB1,null,null,0.025320847
AKNA,AKNA,null,null,0.025303055
RCL1,RCL1,null,null,0.025290944
USPL1,USPL1,null,null,0.025281677
CHTF8,CHTF8,null,null,0.025256515
CTDSPL2,CTDSPL2,null,null,0.025222896
PRRC2A,PRRC2A,null,null,0.025213767
STK24,STK24,null,null,0.025208097
NDUFA5,NDUFA5,null,null,0.025201034
DNAJC19,DNAJC19,null,null,0.025199495
VPS9D1,VPS9D1,null,null,0.02519696
MRPS21,MRPS21,null,null,0.025136262
RPL4,RPL4,null,null,0.025133478
FAM135A,FAM135A,null,null,0.02500392
PSENEN,PSENEN,null,null,0.024990441
MCCC2,MCCC2,null,null,0.024952207
C11orf1,C11orf1,null,null,0.024947526
DDIAS,DDIAS,null,null,0.024928594
LDAH,LDAH,null,null,0.02484706
GBA2,GBA2,null,null,0.024812207
RPUSD4,RPUSD4,null,null,0.024754953
ARPIN-AP3S2,ARPIN-AP3S2,null,null,0.024753101
PHLDB3,PHLDB3,null,null,0.024676966
MID1,MID1,null,null,0.02467651
RWDD4,RWDD4,null,null,0.024649942
NDC1,NDC1,null,null,0.024630416
HMBOX1,HMBOX1,null,null,0.024554513
MBNL3,MBNL3,null,null,0.024552833
DEPDC5,DEPDC5,null,null,0.024547672
RDH13,RDH13,null,null,0.024546055
ERGIC2,ERGIC2,null,null,0.024543686
UBE2K,UBE2K,null,null,0.024538364
PPP6R2,PPP6R2,null,null,0.02453713
NUP98,NUP98,null,null,0.024503643
ZXDC,ZXDC,null,null,0.024501849
RPL32,RPL32,null,null,0.024465758
NFE2L3,NFE2L3,null,null,0.024451844
KLC1,KLC1,null,null,0.02443208
ZNF84,ZNF84,null,null,0.02441091
CIAPIN1,CIAPIN1,null,null,0.0243793
CDIPT,CDIPT,null,null,0.024377206
HINT1,HINT1,null,null,0.024356963
PRDX6,PRDX6,null,null,0.024304377
C19orf44,C19orf44,null,null,0.024301311
MAN1B1,MAN1B1,null,null,0.024299571
CHD6,CHD6,null,null,0.024295146
UGGT1,UGGT1,null,null,0.02425244
HOOK3,HOOK3,null,null,0.024241567
CLDND1,CLDND1,null,null,0.0242344
COX15,COX15,null,null,0.024211636
COMTD1,COMTD1,null,null,0.024205713
MTMR14,MTMR14,null,null,0.024125114
MAP3K4,MAP3K4,null,null,0.024119476
BCAT2,BCAT2,null,null,0.024119226
TECPR1,TECPR1,null,null,0.02411625
E2F3,E2F3,null,null,0.024013756
ATP6V1B2,ATP6V1B2,null,null,0.02399269
HMGB1,HMGB1,null,null,0.023989672
SCPEP1,SCPEP1,null,null,0.023974018
C1orf52,C1orf52,null,null,0.023963025
ETV3,ETV3,null,null,0.023920774
RPL35A,RPL35A,null,null,0.023886928
INTS12,INTS12,null,null,0.02386472
CNTRL,CNTRL,null,null,0.023835417
LTN1,LTN1,null,null,0.023820613
MLF2,MLF2,null,null,0.023784801
HLA-DMB,HLA-DMB,null,null,0.023779197
TATDN2,TATDN2,null,null,0.023775786
RINT1,RINT1,null,null,0.02377443
ZBTB48,ZBTB48,null,null,0.023686988
ITPR3,ITPR3,null,null,0.023684768
SENP6,SENP6,null,null,0.023676842
C11orf49,C11orf49,null,null,0.023614757
TSSC4,TSSC4,null,null,0.023563882
CCNK,CCNK,null,null,0.023555692
IFNAR1,IFNAR1,null,null,0.023554992
XPNPEP1,XPNPEP1,null,null,0.023546519
ARF5,ARF5,null,null,0.023533428
RNF121,RNF121,null,null,0.023511924
ARHGAP30,ARHGAP30,null,null,0.023506945
SLC25A12,SLC25A12,null,null,0.02349546
NOP9,NOP9,null,null,0.023475878
DRAP1,DRAP1,null,null,0.023415916
MKNK2,MKNK2,null,null,0.023393527
FNBP1,FNBP1,null,null,0.023373676
TFAM,TFAM,null,null,0.023353051
ZNF343,ZNF343,null,null,0.02333361
YBX1,YBX1,null,null,0.023329783
USP34,USP34,null,null,0.023326477
MBTPS1,MBTPS1,null,null,0.023299245
IMPA1,IMPA1,null,null,0.023291789
ZNF766,ZNF766,null,null,0.023290107
PIM3,PIM3,null,null,0.023288326
TLE3,TLE3,null,null,0.023268
LANCL2,LANCL2,null,null,0.023263285
TSC2,TSC2,null,null,0.023252519
FAM32A,FAM32A,null,null,0.023221256
ZMYM4,ZMYM4,null,null,0.023218887
NBL1,NBL1,null,null,0.023215525
ARNTL,ARNTL,null,null,0.023205334
ABCD4,ABCD4,null,null,0.023201514
LRIG3,LRIG3,null,null,0.023190713
SLC37A1,SLC37A1,null,null,0.023169782
GCC1,GCC1,null,null,0.023156984
ZNF408,ZNF408,null,null,0.023147622
TBC1D10B,TBC1D10B,null,null,0.023063002
MRPL24,MRPL24,null,null,0.023054795
UBAP2,UBAP2,null,null,0.02305238
BET1L,BET1L,null,null,0.02304255
CEP162,CEP162,null,null,0.023024151
SCMH1,SCMH1,null,null,0.023023942
GTF2H3,GTF2H3,null,null,0.023016257
BIVM,BIVM,null,null,0.023007073
NDUFB9,NDUFB9,null,null,0.023002049
LRIF1,LRIF1,null,null,0.02298974
PDCD7,PDCD7,null,null,0.022957375
TLR4,TLR4,null,null,0.022941366
UBE2V1,UBE2V1,null,null,0.022921622
CCDC85C,CCDC85C,null,null,0.022920435
RNMT,RNMT,null,null,0.022911342
TAF1D,TAF1D,null,null,0.022905
RSC1A1,RSC1A1,null,null,0.02288378
ARL6IP5,ARL6IP5,null,null,0.02285832
CDC27,CDC27,null,null,0.022842988
SPPL2B,SPPL2B,null,null,0.022842608
MAX,MAX,null,null,0.022829559
SLC29A1,SLC29A1,null,null,0.022819106
MED4,MED4,null,null,0.022809997
TMEM165,TMEM165,null,null,0.022791876
MFSD14A,MFSD14A,null,null,0.02273661
SIN3B,SIN3B,null,null,0.022731883
RRS1,RRS1,null,null,0.022729965
NR1H2,NR1H2,null,null,0.022726055
ZNF141,ZNF141,null,null,0.022719916
ZDHHC16,ZDHHC16,null,null,0.022715604
SLC5A3,SLC5A3,null,null,0.02269072
SDHAF1,SDHAF1,null,null,0.022644417
SART1,SART1,null,null,0.022637941
LMNB2,LMNB2,null,null,0.022637185
BLOC1S5,BLOC1S5,null,null,0.02262075
HNRNPA1,HNRNPA1,null,null,0.022611307
AFF2,AFF2,null,null,0.022604344
IGF1R,IGF1R,null,null,0.022564512
XYLT2,XYLT2,null,null,0.022563154
DEDD,DEDD,null,null,0.022546252
INPP5K,INPP5K,null,null,0.022540346
RMND1,RMND1,null,null,0.022534238
SPEN,SPEN,null,null,0.022510735
NARF,NARF,null,null,0.02250194
USP1,USP1,null,null,0.022468468
DCP1B,DCP1B,null,null,0.022450348
MAP1S,MAP1S,null,null,0.02243497
NAA38,NAA38,null,null,0.022421869
EIF5,EIF5,null,null,0.022396436
SZT2,SZT2,null,null,0.02239243
PCSK7,PCSK7,null,null,0.022379935
WDR73,WDR73,null,null,0.0223739
PRKX,PRKX,null,null,0.02236617
CDK8,CDK8,null,null,0.022360995
LAMTOR3,LAMTOR3,null,null,0.022360792
MKNK1,MKNK1,null,null,0.022329569
SFXN2,SFXN2,null,null,0.02229026
CDC42SE1,CDC42SE1,null,null,0.022279965
ZNF816,ZNF816,null,null,0.022277392
DYM,DYM,null,null,0.022274077
CDCA3,CDCA3,null,null,0.022273198
WNT10A,WNT10A,null,null,0.022257524
SRGAP2,SRGAP2,null,null,0.022257505
MAP2K3,MAP2K3,null,null,0.022248177
IFT52,IFT52,null,null,0.022244535
VAMP8,VAMP8,null,null,0.022234898
ECE2,ECE2,null,null,0.02222725
MOCS2,MOCS2,null,null,0.02221962
FAM160A2,FAM160A2,null,null,0.022208665
TOMM34,TOMM34,null,null,0.022206778
RALGAPA2,RALGAPA2,null,null,0.022178318
NDUFA6,NDUFA6,null,null,0.022174964
PTER,PTER,null,null,0.02216346
SPAG9,SPAG9,null,null,0.022153499
ING3,ING3,null,null,0.022118578
ZNF446,ZNF446,null,null,0.022092918
CIAO2B,CIAO2B,null,null,0.022056155
YY1,YY1,null,null,0.022055661
RNF220,RNF220,null,null,0.02205074
AAR2,AAR2,null,null,0.022040453
PYGO2,PYGO2,null,null,0.022037422
UPF3B,UPF3B,null,null,0.02195006
CES2,CES2,null,null,0.02194576
UQCRH,UQCRH,null,null,0.021898475
IRF1,IRF1,null,null,0.021872513
ATP2B4,ATP2B4,null,null,0.02187106
PDCD2L,PDCD2L,null,null,0.021866871
FBXO28,FBXO28,null,null,0.021864744
KIF11,KIF11,null,null,0.02182532
SMDT1,SMDT1,null,null,0.021823145
RP2,RP2,null,null,0.021821823
AP2M1,AP2M1,null,null,0.021811608
MYO5A,MYO5A,null,null,0.021811346
SOAT1,SOAT1,null,null,0.021799779
TOMM40,TOMM40,null,null,0.021730378
BRWD3,BRWD3,null,null,0.021693205
ITGA3,ITGA3,null,null,0.021661522
OAZ2,OAZ2,null,null,0.021596128
SDE2,SDE2,null,null,0.021572843
ROMO1,ROMO1,null,null,0.02155184
NBN,NBN,null,null,0.021535037
RSPRY1,RSPRY1,null,null,0.02150522
ZBTB7A,ZBTB7A,null,null,0.021501273
EHBP1L1,EHBP1L1,null,null,0.0214993
SLC52A2,SLC52A2,null,null,0.021469753
AMOTL1,AMOTL1,null,null,0.021448787
VAMP1,VAMP1,null,null,0.021446407
EXOSC1,EXOSC1,null,null,0.021433828
BRI3BP,BRI3BP,null,null,0.021405201
PDXP,PDXP,null,null,0.02139449
HIVEP1,HIVEP1,null,null,0.021354437
RNF111,RNF111,null,null,0.02133787
SMS,SMS,null,null,0.021327043
NOC3L,NOC3L,null,null,0.02132229
TRMU,TRMU,null,null,0.021298159
ZNF787,ZNF787,null,null,0.021204636
DDX51,DDX51,null,null,0.021175971
KBTBD8,KBTBD8,null,null,0.02115582
FOXP1,FOXP1,null,null,0.021140466
PCDHGB3,PCDHGB3,null,null,0.021138234
PAK1IP1,PAK1IP1,null,null,0.02113225
CUX2,CUX2,null,null,0.021124687
SHISA5,SHISA5,null,null,0.021106884
ZNF707,ZNF707,null,null,0.021096313
GRK2,GRK2,null,null,0.021090161
PUS1,PUS1,null,null,0.02108479
MRPL30,MRPL30,null,null,0.021060253
EIF4B,EIF4B,null,null,0.021052787
SZRD1,SZRD1,null,null,0.02104506
SNAPC2,SNAPC2,null,null,0.021027789
UBN2,UBN2,null,null,0.021022562
ZNF579,ZNF579,null,null,0.021020599
TNPO2,TNPO2,null,null,0.021015702
HSBP1,HSBP1,null,null,0.021000082
LRRC8C,LRRC8C,null,null,0.020991929
CDC42EP3,CDC42EP3,null,null,0.020979077
CLPP,CLPP,null,null,0.020969944
MAF1,MAF1,null,null,0.020968655
DUSP11,DUSP11,null,null,0.020929381
CUL3,CUL3,null,null,0.020894986
BCL7B,BCL7B,null,null,0.020882143
ZNF428,ZNF428,null,null,0.02087853
SEC24D,SEC24D,null,null,0.02084569
ZNF576,ZNF576,null,null,0.020838168
KXD1,KXD1,null,null,0.020831466
PLEKHG2,PLEKHG2,null,null,0.020819955
KIAA1191,KIAA1191,null,null,0.020805383
AP2A2,AP2A2,null,null,0.020775443
CARM1,CARM1,null,null,0.0207569
CADM1,CADM1,null,null,0.020747181
TMEM219,TMEM219,null,null,0.020740835
LRIG1,LRIG1,null,null,0.020735556
C5orf30,C5orf30,null,null,0.020666627
NEDD1,NEDD1,null,null,0.020641848
MAPKAPK5,MAPKAPK5,null,null,0.020628976
EIF3I,EIF3I,null,null,0.020600392
SPTLC1,SPTLC1,null,null,0.020581143
TBL1XR1,TBL1XR1,null,null,0.020580193
ARNT,ARNT,null,null,0.020567803
PPAT,PPAT,null,null,0.020560311
TMEM168,TMEM168,null,null,0.02054953
KRIT1,KRIT1,null,null,0.020541621
FLVCR1,FLVCR1,null,null,0.020539504
MCOLN2,MCOLN2,null,null,0.020531759
INTS1,INTS1,null,null,0.020530073
PIAS3,PIAS3,null,null,0.02050033
EEF2KMT,EEF2KMT,null,null,0.020490164
SETX,SETX,null,null,0.02046018
HPS1,HPS1,null,null,0.020456385
ODF2,ODF2,null,null,0.020450296
MICAL3,MICAL3,null,null,0.020433074
GUK1,GUK1,null,null,0.020430453
UBR5,UBR5,null,null,0.020426229
ZNF7,ZNF7,null,null,0.020417962
ZNHIT6,ZNHIT6,null,null,0.02039737
HLA-C,HLA-C,null,null,0.020367954
FXN,FXN,null,null,0.02035318
SNF8,SNF8,null,null,0.02035055
CDC40,CDC40,null,null,0.020342736
UBL5,UBL5,null,null,0.020325253
TRMT10A,TRMT10A,null,null,0.020305494
MAP2K2,MAP2K2,null,null,0.020302355
ACAA1,ACAA1,null,null,0.020269927
ZNF37A,ZNF37A,null,null,0.020267788
UBN1,UBN1,null,null,0.020266984
MTPAP,MTPAP,null,null,0.020258337
MAVS,MAVS,null,null,0.020231446
LNPK,LNPK,null,null,0.020215642
CASC4,CASC4,null,null,0.02021342
IQCB1,IQCB1,null,null,0.020211864
RPP30,RPP30,null,null,0.020208273
EPC1,EPC1,null,null,0.0201785
ZNF587,ZNF587,null,null,0.02016261
SLC11A2,SLC11A2,null,null,0.020146573
EFHD2,EFHD2,null,null,0.020117477
SIX5,SIX5,null,null,0.020114267
Mar-08,Mar-08,null,null,0.020114226
NOL9,NOL9,null,null,0.0201087
SLCO3A1,SLCO3A1,null,null,0.020096365
SP3,SP3,null,null,0.02009533
AQR,AQR,null,null,0.020083088
DCTPP1,DCTPP1,null,null,0.020078557
PFDN1,PFDN1,null,null,0.02004878
HYOU1,HYOU1,null,null,0.019984469
MFSD14B,MFSD14B,null,null,0.019979237
TAGLN2,TAGLN2,null,null,0.019962776
GBF1,GBF1,null,null,0.019960376
ATP5MC1,ATP5MC1,null,null,0.019955203
TRAPPC1,TRAPPC1,null,null,0.019935144
POLR3K,POLR3K,null,null,0.019906057
NFKBID,NFKBID,null,null,0.019887231
RAPGEF5,RAPGEF5,null,null,0.019878732
SETD5,SETD5,null,null,0.0198629
ABCF2,ABCF2,null,null,0.019859988
AP3M1,AP3M1,null,null,0.019826418
GUCD1,GUCD1,null,null,0.019814895
RRP15,RRP15,null,null,0.01975728
UBE2A,UBE2A,null,null,0.019748667
HTRA2,HTRA2,null,null,0.019742677
PWP1,PWP1,null,null,0.019724632
ANGEL2,ANGEL2,null,null,0.019713463
ZHX1-C8orf76,ZHX1-C8orf76,null,null,0.019658888
RPL26L1,RPL26L1,null,null,0.019631846
SIRT2,SIRT2,null,null,0.01962307
TMEM120A,TMEM120A,null,null,0.019595096
LAMTOR1,LAMTOR1,null,null,0.01959163
EIF3J,EIF3J,null,null,0.019580806
CALM2,CALM2,null,null,0.019568838
PRKCB,PRKCB,null,null,0.019535648
CYLD,CYLD,null,null,0.0195128
WDR13,WDR13,null,null,0.01948211
UTP14A,UTP14A,null,null,0.019414734
SCRN3,SCRN3,null,null,0.019408062
TMEM14A,TMEM14A,null,null,0.019395597
ZNF28,ZNF28,null,null,0.019384462
SLC25A20,SLC25A20,null,null,0.019351717
MAN2B1,MAN2B1,null,null,0.01931554
SNX6,SNX6,null,null,0.019300494
UBE3C,UBE3C,null,null,0.019271847
ZNF142,ZNF142,null,null,0.019259866
ELMO1,ELMO1,null,null,0.019226287
ATG4A,ATG4A,null,null,0.019204998
ITPR2,ITPR2,null,null,0.019191423
HLA-DQA1,HLA-DQA1,null,null,0.019147182
EEF1AKMT2,EEF1AKMT2,null,null,0.019136688
MYB,MYB,null,null,0.019128954
FARP2,FARP2,null,null,0.019114431
EIF2AK1,EIF2AK1,null,null,0.01909634
TMEM189-UBE2V1,TMEM189-UBE2V1,null,null,0.019092213
RRNAD1,RRNAD1,null,null,0.019091142
RNASEH2B,RNASEH2B,null,null,0.019087771
STK26,STK26,null,null,0.019068796
TMEM230,TMEM230,null,null,0.01906812
ELOF1,ELOF1,null,null,0.019057076
ZNF776,ZNF776,null,null,0.019043311
ZNF267,ZNF267,null,null,0.019028068
ABR,ABR,null,null,0.019002775
C11orf68,C11orf68,null,null,0.018984165
KIF16B,KIF16B,null,null,0.018977262
ATL2,ATL2,null,null,0.01896857
RECQL,RECQL,null,null,0.018963182
ARFRP1,ARFRP1,null,null,0.018945258
TMEM208,TMEM208,null,null,0.01893356
TTC27,TTC27,null,null,0.018910704
P4HTM,P4HTM,null,null,0.018899886
RRAGC,RRAGC,null,null,0.018868482
DGKH,DGKH,null,null,0.018835535
MIEF1,MIEF1,null,null,0.01881929
SLC38A1,SLC38A1,null,null,0.018792992
LIN9,LIN9,null,null,0.01877547
GFOD1,GFOD1,null,null,0.018738007
FBXO34,FBXO34,null,null,0.01873357
MICOS13,MICOS13,null,null,0.018722253
METTL17,METTL17,null,null,0.018704534
NBEAL1,NBEAL1,null,null,0.018700548
HCCS,HCCS,null,null,0.018691797
TMEM69,TMEM69,null,null,0.018645696
ZNF623,ZNF623,null,null,0.018641045
PPAN-P2RY11,PPAN-P2RY11,null,null,0.018604156
CREBZF,CREBZF,null,null,0.01859969
BRCA1,BRCA1,null,null,0.01858239
ITPRIPL1,ITPRIPL1,null,null,0.018572658
GYS1,GYS1,null,null,0.01855121
GNA12,GNA12,null,null,0.018543605
LYPLA2,LYPLA2,null,null,0.018541163
GPN1,GPN1,null,null,0.018538835
RAB2A,RAB2A,null,null,0.018513344
PFDN4,PFDN4,null,null,0.018505469
AFF3,AFF3,null,null,0.0184946
ZNF480,ZNF480,null,null,0.018493036
INPP5D,INPP5D,null,null,0.01848908
HBP1,HBP1,null,null,0.018487964
NDUFB3,NDUFB3,null,null,0.018470446
APEX2,APEX2,null,null,0.018446798
PARS2,PARS2,null,null,0.018420558
DHX29,DHX29,null,null,0.01833529
ICE1,ICE1,null,null,0.018326653
NUP43,NUP43,null,null,0.01829489
RPLP0,RPLP0,null,null,0.018290637
AKAP13,AKAP13,null,null,0.018276686
RNF168,RNF168,null,null,0.018265564
GGA1,GGA1,null,null,0.018262753
LRPAP1,LRPAP1,null,null,0.018256174
RARA,RARA,null,null,0.01822026
ITM2B,ITM2B,null,null,0.018209787
EP400,EP400,null,null,0.018196333
SBF1,SBF1,null,null,0.018190129
LRRK1,LRRK1,null,null,0.018177971
EHMT2,EHMT2,null,null,0.01816689
FAM89B,FAM89B,null,null,0.018153215
CPT2,CPT2,null,null,0.018144451
RPIA,RPIA,null,null,0.018135184
TMEM243,TMEM243,null,null,0.01812603
PARP12,PARP12,null,null,0.018095057
RPA2,RPA2,null,null,0.018079488
MME,MME,null,null,0.01807575
WASHC2A,WASHC2A,null,null,0.018070811
WSB1,WSB1,null,null,0.018066926
POLR2I,POLR2I,null,null,0.018053431
ATP5PF,ATP5PF,null,null,0.018037478
GFM1,GFM1,null,null,0.018010587
TLE5,TLE5,null,null,0.017964108
SMC5,SMC5,null,null,0.017950715
STAT1,STAT1,null,null,0.017921463
COX6C,COX6C,null,null,0.017918233
EMD,EMD,null,null,0.017915433
ZBED4,ZBED4,null,null,0.017886413
CHPF2,CHPF2,null,null,0.017880216
IDH1,IDH1,null,null,0.017867954
TOE1,TOE1,null,null,0.017865457
ZNF276,ZNF276,null,null,0.01781267
PPT1,PPT1,null,null,0.017810365
FAM162A,FAM162A,null,null,0.017807046
RASGRP3,RASGRP3,null,null,0.017789323
WBP4,WBP4,null,null,0.017762832
NFS1,NFS1,null,null,0.017705582
SPIDR,SPIDR,null,null,0.017686503
PHF10,PHF10,null,null,0.017655922
NCOR1,NCOR1,null,null,0.017613562
TRIM59,TRIM59,null,null,0.017598515
ZNF45,ZNF45,null,null,0.017570471
MON2,MON2,null,null,0.01756894
MBD1,MBD1,null,null,0.017567024
RPL19,RPL19,null,null,0.017548593
STOML2,STOML2,null,null,0.0174934
GPAT4,GPAT4,null,null,0.017464148
KCNH2,KCNH2,null,null,0.017457984
PTPN2,PTPN2,null,null,0.017455842
PPIA,PPIA,null,null,0.017450076
HNRNPA3,HNRNPA3,null,null,0.017447406
B4GAT1,B4GAT1,null,null,0.01736806
LRRCC1,LRRCC1,null,null,0.017327692
ATP5PB,ATP5PB,null,null,0.017322624
RTF2,RTF2,null,null,0.017318955
WDTC1,WDTC1,null,null,0.017314207
ZNF3,ZNF3,null,null,0.017303232
