external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrezgene_id,status
A1BG,543.5822342855204,0.44848696958429773,0.2242730386027431,1.895863969640087,0.05797803437588301,0.17140977859723838,1,stable
A1BG-AS1,367.69673275813756,-0.2884390628029332,0.23384402147583447,-1.2326329148044577,0.2177127509488444,0.40459053873314416,NA,stable
A2M,11418.627288437285,0.04993883492479951,0.22354417108595354,0.22047830111231148,0.8254986698137333,0.9064840878507527,2,stable
A2M-AS1,132.19812889831744,0.3580190951715196,0.2708065554218071,1.0287096913486797,0.3036161144844226,0.5006124944588077,144571,stable
A2ML1,210.91993386081845,0.09417597214331139,0.2688941702206145,0.19970288351330043,0.8417129584853883,0.9152480287269282,144568,stable
A4GALT,1823.808146604902,-0.29447893652333285,0.2717520722993767,-1.0388939875231888,0.29885404296848644,0.4952103732901797,53947,stable
AAAS,3067.7513700827744,-0.5839463485083268,0.21372851744709595,-2.5846230397407943,0.00974855147954719,0.057501088236628604,8086,stable
AACS,2979.1570923668855,0.09004102394288427,0.1727682043862258,0.5447095611738553,0.5859532879206524,0.751167922981188,65985,stable
AAED1,389.83225556423133,0.14245879661317412,0.25797713693788404,0.40919893303640303,0.6823936773380109,0.8176682457928066,NA,stable
AAGAB,2041.7667134166172,-0.34997746354776943,0.17653057025085528,-1.9022939925428264,0.05713273062735986,0.16989243887278574,79719,stable
AAK1,2251.3037929075126,-0.0038311650255738448,0.24184364541766032,-0.1947163524835827,0.845615009509275,0.9170233425934728,22848,stable
AAMDC,394.51823661377165,0.5002233229385397,0.22086527054534816,2.118323024423204,0.03414771998287482,0.12235549433347077,28971,stable
AAMP,3152.0935777192026,-0.6610856372729684,0.22134411262909212,-2.890351196559835,0.0038481166204542747,0.03417841977238924,14,mRNA_down
AANAT,202.79206736650733,-0.26831094000026773,0.2656992389461788,-1.006231937786924,0.31430401222802473,0.5124689942070306,15,stable
AAR2,1584.7317368235442,-0.5745464363226334,0.20623632025875635,-2.699040063362438,0.006953980426866526,0.047565000157771035,25980,mRNA_down
AARS,8829.49404532716,-0.8182504626328491,0.22977984558520612,-3.394744255054035,6.869273498719148e-4,0.013804124787402203,16,mRNA_down
AARS2,2343.28792736209,-0.4020823230180171,0.19948737967355024,-1.9575348991699042,0.05028461282030115,0.15595894915979905,57505,stable
AARSD1,1154.2093603939054,-0.3854282682180104,0.15319072197063424,-2.4683927770659166,0.013572130578483856,0.06977232790974999,80755,stable
AASDH,1118.435194205948,-0.13676235235301923,0.18237236250105188,-0.6811570087012443,0.49577214768992833,0.6818132272028088,132949,stable
AASDHPPT,2750.6958660128525,-0.1389026755400465,0.2301648598220913,-0.4399991482917662,0.6599377241878251,0.8032069723215871,60496,stable
AASS,232.11758240333603,-0.043069675879394455,0.26923321697415675,-0.12178991491521056,0.9030654012226953,0.9492897226335947,10157,stable
AATBC,829.6837521934718,0.35247020921726796,0.2624561232934038,1.1645323823471228,0.24420832813341503,0.4355959079004978,NA,stable
AATF,3323.6651163210768,-0.4966508610118079,0.20700650639656853,-2.303932792970093,0.0212264165323278,0.0921934845619749,26574,stable
ABALON,193.69522946911943,0.29478338339954097,0.25245804536543004,1.1210525979715884,0.2622654741622756,0.45620809677644053,NA,stable
ABAT,838.3538439970795,-0.20558672365273464,0.22877626162057776,-0.943463211174859,0.34544402408781993,0.5434168487285276,18,stable
ABC7-42404400C24.1,210.3003129280983,0.220379892967912,0.22671207502131482,0.8973609908067863,0.36952632102740074,0.5681387059345776,NA,stable
ABCA1,7759.937035393413,0.31090953544866373,0.26466212859247285,1.012793268902455,0.3111589164938393,0.5086803372251485,19,stable
ABCA11P,345.90602327011163,0.6485402316298639,0.25077422467977833,2.521438282821408,0.011687617604442745,0.06367501794203034,NA,stable
ABCA2,1318.6735869910674,-0.2503077225972953,0.27090196700064356,-0.9276073614715105,0.3536112777473255,0.5515248603561138,20,stable
ABCA3,281.53137850087467,0.565161426175625,0.26859725058708833,1.6793177638233114,0.09309013078301491,0.234115561885599,21,stable
ABCA5,590.5321157131829,0.3031630130714128,0.25133149203852706,0.9744152657843641,0.32985039270966854,0.5278827159268329,23461,stable
ABCA6,1446.6375006013166,0.7186101053117175,0.2621324370845489,2.6616503729322702,0.007775859990592336,0.05046068679829477,23460,stable
ABCA7,4887.905212076413,-0.47026002457865074,0.2560591176141213,-2.0056767116021743,0.044890751460688536,0.14524231372360602,10347,stable
ABCA8,372.95021545686615,-0.11521904865093362,0.26826030569894227,-0.5260419608300887,0.5988590528557471,0.7600833923794681,10351,stable
ABCA9,637.2381034214025,0.5296304202668088,0.2642424011946462,1.8385336437108681,0.06598380900945217,0.18643901841430122,10350,stable
ABCB1,213.2564777307904,0.09810627771383852,0.2546164296793161,0.25605638909831074,0.7979072960425813,0.8910552546780205,5243,stable
ABCB10,1798.687049724529,-0.2439513387642612,0.18975715818426522,-1.2358064464122844,0.2165305182166032,0.403047853074787,23456,stable
ABCB4,478.2363330282642,0.6442386883870576,0.2725862916174073,1.9740673083711686,0.04837409001290475,0.152521938928537,5244,stable
