ensembl,external_gene_name,entrezgene_id
ENSG00000013523,ANGEL1,23357
ENSG00000013561,RNF14,9604
ENSG00000013573,DDX11,1663
ENSG00000013810,TACC3,10460
ENSG00000014123,UFL1,23376
ENSG00000014138,POLA2,23649
ENSG00000014164,ZC3H3,23144
ENSG00000014216,CAPN1,823
ENSG00000014641,MDH1,4190
ENSG00000014824,SLC30A9,10463
ENSG00000014919,COX15,1355
ENSG00000015133,CCDC88C,440193
ENSG00000015153,YAF2,10138
ENSG00000015171,ZMYND11,10771
ENSG00000015285,WAS,7454
ENSG00000015475,BID,637
ENSG00000015479,MATR3,9782
ENSG00000015532,XYLT2,64132
ENSG00000015676,NUDCD3,23386
ENSG00000016391,CHDH,55349
ENSG00000016864,GLT8D1,55830
ENSG00000017260,ATP2C1,27032
ENSG00000017483,SLC38A5,92745
ENSG00000017797,RALBP1,10928
ENSG00000018189,RUFY3,22902
ENSG00000018510,AGPS,8540
ENSG00000018610,CXorf56,63932
ENSG00000018699,TTC27,55622
ENSG00000019549,SNAI2,6591
ENSG00000019582,CD74,972
ENSG00000019995,ZRANB1,54764
ENSG00000020129,NCDN,23154
ENSG00000020256,ZFP64,55734
ENSG00000020426,MNAT1,4331
ENSG00000020633,RUNX3,864
ENSG00000020922,MRE11,4361
ENSG00000021355,SERPINB1,1992
ENSG00000021574,SPAST,6683
ENSG00000021776,AQR,9716
ENSG00000022277,RTF2,51507
ENSG00000022567,SLC45A4,57210
ENSG00000022840,RNF10,9921
ENSG00000022976,ZNF839,55778
ENSG00000023041,ZDHHC6,64429
ENSG00000023171,GRAMD1B,57476
ENSG00000023191,RNH1,6050
ENSG00000023228,NDUFS1,4719
ENSG00000023287,RB1CC1,9821
ENSG00000023318,ERP44,23071
ENSG00000023330,ALAS1,211
ENSG00000023445,BIRC3,330
ENSG00000023516,AKAP11,11215
ENSG00000023572,GLRX2,51022
ENSG00000023608,SNAPC1,6617
ENSG00000023697,DERA,51071
ENSG00000023734,STRAP,11171
ENSG00000023892,DEF6,50619
ENSG00000023902,PLEKHO1,51177
ENSG00000023909,GCLM,2730
ENSG00000024048,UBR2,23304
ENSG00000024526,DEPDC1,55635
ENSG00000025039,RRAGD,58528
ENSG00000025156,HSF2,3298
ENSG00000025293,PHF20,51230
ENSG00000025770,NCAPH2,29781
ENSG00000025772,TOMM34,10953
ENSG00000025796,SEC63,11231
ENSG00000025800,KPNA6,23633
ENSG00000026103,FAS,355
ENSG00000026297,RNASET2,8635
ENSG00000026508,CD44,960
ENSG00000026751,SLAMF7,57823
ENSG00000027001,MIPEP,4285
ENSG00000027847,B4GALT7,11285
ENSG00000028116,VRK2,7444
ENSG00000028137,TNFRSF1B,7133
ENSG00000028203,VEZT,55591
ENSG00000028277,POU2F2,5452
ENSG00000028310,BRD9,65980
ENSG00000028528,SNX1,6642
ENSG00000028839,TBPL1,9519
ENSG00000029153,ARNTL2,56938
ENSG00000029363,BCLAF1,9774
ENSG00000029364,SLC39A9,55334
ENSG00000029725,RABEP1,9135
ENSG00000029993,HMGB3,3149
ENSG00000030066,NUP160,23279
ENSG00000030110,BAK1,578
ENSG00000030582,GRN,2896
ENSG00000031003,FAM13B,51306
ENSG00000031081,ARHGAP31,57514
ENSG00000031691,CENPQ,55166
ENSG00000031698,SARS,6301
ENSG00000031823,RANBP3,8498
ENSG00000032219,ARID4A,5926
ENSG00000032389,EIPR1,7260
ENSG00000032444,PNPLA6,10908
ENSG00000032742,IFT88,8100
ENSG00000033011,ALG1,56052
ENSG00000033050,ABCF2,10061
ENSG00000033100,CHPF2,54480
ENSG00000033170,FUT8,2530
ENSG00000033178,UBA6,55236
ENSG00000033627,ATP6V0A1,535
ENSG00000033800,PIAS1,8554
ENSG00000033867,SLC4A7,9497
ENSG00000034152,MAP2K3,5606
ENSG00000034510,TMSB10,9168
ENSG00000034533,ASTE1,28990
ENSG00000034677,RNF19A,25897
ENSG00000034693,PEX3,8504
ENSG00000034713,GABARAPL2,11345
ENSG00000035115,SH3YL1,26751
ENSG00000035141,FAM136A,84908
ENSG00000035403,VCL,7414
ENSG00000035499,DEPDC1B,55789
ENSG00000035681,NSMAF,8439
ENSG00000035687,ADSS,159
ENSG00000035720,STAP1,26228
ENSG00000035862,TIMP2,7077
ENSG00000035928,RFC1,5981
ENSG00000036054,TBC1D23,55773
ENSG00000036257,CUL3,8452
ENSG00000036549,AC118549.1,26009
ENSG00000037241,RPL26L1,51121
ENSG00000037474,NSUN2,54888
ENSG00000037637,FBXO42,54455
ENSG00000037749,MFAP3,4238
ENSG00000037757,MRI1,84245
ENSG00000037897,METTL1,4234
ENSG00000038002,AGA,175
ENSG00000038210,PI4K2B,55300
ENSG00000038219,BOD1L1,259282
ENSG00000038274,MAT2B,27430
ENSG00000038358,EDC4,23644
ENSG00000038382,TRIO,7204
ENSG00000038532,CLEC16A,23274
ENSG00000039123,MTREX,23517
ENSG00000039319,ZFYVE16,9765
ENSG00000039650,PNKP,11284
ENSG00000040199,PHLPP2,23035
ENSG00000040275,SPDL1,54908
ENSG00000040341,STAU2,27067
ENSG00000040531,CTNS,1497
ENSG00000040633,PHF23,79142
ENSG00000040933,INPP4A,3631
ENSG00000041357,PSMA4,5685
ENSG00000041802,LSG1,55341
ENSG00000041880,PARP3,10039
ENSG00000042088,TDP1,55775
ENSG00000042286,AIFM2,84883
ENSG00000042429,MED17,9440
ENSG00000042445,RETSAT,54884
ENSG00000042753,AP2S1,1175
ENSG00000042980,ADAM28,10863
ENSG00000043093,DCUN1D1,54165
ENSG00000043143,JADE2,23338
ENSG00000043514,TRIT1,54802
ENSG00000044090,CUL7,9820
ENSG00000044115,CTNNA1,1495
ENSG00000044446,PHKA2,5256
ENSG00000044459,CNTLN,54875
ENSG00000044574,HSPA5,3309
ENSG00000046604,DSG2,1829
ENSG00000046647,GEMIN8,54960
ENSG00000046651,OFD1,8481
ENSG00000047056,WDR37,22884
ENSG00000047188,YTHDC2,64848
ENSG00000047230,CTPS2,56474
ENSG00000047249,ATP6V1H,51606
ENSG00000047315,POLR2B,5431
ENSG00000047346,FAM214A,56204
ENSG00000047365,ARAP2,116984
ENSG00000047410,TPR,7175
ENSG00000047578,KIAA0556,23247
ENSG00000047579,DTNBP1,84062
ENSG00000047621,C12orf4,57102
ENSG00000047644,WWC3,55841
ENSG00000047849,MAP4,4134
ENSG00000047932,GOPC,57120
ENSG00000048028,USP28,57646
ENSG00000048052,HDAC9,9734
ENSG00000048140,TSPAN17,26262
ENSG00000048162,NOP16,51491
ENSG00000048392,RRM2B,50484
ENSG00000048405,ZNF800,168850
ENSG00000048462,TNFRSF17,608
ENSG00000048471,SNX29,92017
ENSG00000048544,MRPS10,55173
ENSG00000048545,GUCA1A,2978
ENSG00000048649,RSF1,51773
ENSG00000048707,VPS13D,55187
ENSG00000048828,FAM120A,23196
ENSG00000048991,R3HDM1,23518
ENSG00000049167,ERCC8,1161
ENSG00000049323,LTBP1,4052
ENSG00000049541,RFC2,5982
ENSG00000049618,ARID1B,57492
ENSG00000049656,CLPTM1L,81037
ENSG00000049759,NEDD4L,23327
ENSG00000049860,HEXB,3074
ENSG00000049883,PTCD2,79810
ENSG00000050130,JKAMP,51528
ENSG00000050344,NFE2L3,9603
ENSG00000050393,MCUR1,63933
ENSG00000050405,LIMA1,51474
ENSG00000050426,LETMD1,25875
ENSG00000050748,MAPK9,5601
ENSG00000050820,BCAR1,9564
ENSG00000051009,FAM160A2,84067
ENSG00000051108,HERPUD1,9709
ENSG00000051180,RAD51,5888
ENSG00000051341,POLQ,10721
ENSG00000051382,PIK3CB,5291
ENSG00000051523,CYBA,1535
ENSG00000051596,THOC3,84321
ENSG00000051620,HEBP2,23593
ENSG00000051825,MPHOSPH9,10198
ENSG00000052723,SIKE1,80143
ENSG00000052749,RRP12,23223
ENSG00000052795,FNIP2,57600
ENSG00000052802,MSMO1,6307
ENSG00000052841,TTC17,55761
ENSG00000053254,FOXN3,1112
ENSG00000053371,AKR7A2,8574
ENSG00000053372,MRTO4,51154
ENSG00000053501,USE1,55850
ENSG00000053770,AP5M1,55745
ENSG00000053900,ANAPC4,29945
ENSG00000054116,TRAPPC3,27095
ENSG00000054118,THRAP3,9967
ENSG00000054148,PHPT1,29085
ENSG00000054219,LY75,4065
ENSG00000054267,ARID4B,51742
ENSG00000054282,SDCCAG8,10806
ENSG00000054523,KIF1B,23095
ENSG00000054598,FOXC1,2296
ENSG00000054611,TBC1D22A,25771
ENSG00000054654,SYNE2,23224
ENSG00000054967,RELT,84957
ENSG00000055044,NOP58,51602
ENSG00000055070,SZRD1,26099
ENSG00000055118,KCNH2,3757
ENSG00000055130,CUL1,8454
ENSG00000055147,FAM114A2,10827
ENSG00000055163,CYFIP2,26999
ENSG00000055208,TAB2,23118
ENSG00000055211,GINM1,116254
ENSG00000055332,EIF2AK2,5610
ENSG00000055483,AC022966.1,57602
ENSG00000055609,KMT2C,58508
ENSG00000055917,PUM2,23369
ENSG00000055950,MRPL43,84545
ENSG00000056050,HPF1,54969
ENSG00000056097,ZFR,51663
ENSG00000056558,TRAF1,7185
ENSG00000056586,RC3H2,54542
ENSG00000056736,IL17RB,55540
ENSG00000057019,DCBLD2,131566
ENSG00000057252,SOAT1,6646
ENSG00000057608,GDI2,2665
ENSG00000057657,PRDM1,639
ENSG00000057663,ATG5,9474
ENSG00000057757,PITHD1,57095
ENSG00000057935,MTA3,57504
ENSG00000058056,USP13,8975
ENSG00000058063,ATP11B,23200
ENSG00000058091,CDK14,5218
ENSG00000058262,SEC61A1,29927
ENSG00000058272,PPP1R12A,4659
ENSG00000058453,CROCC,9696
ENSG00000058600,POLR3E,55718
ENSG00000058668,ATP2B4,493
ENSG00000058673,ZC3H11A,9877
ENSG00000058729,RIOK2,55781
ENSG00000058799,YIPF1,54432
ENSG00000058804,NDC1,55706
ENSG00000058866,DGKG,1608
ENSG00000059122,FLYWCH1,84256
ENSG00000059145,UNKL,64718
ENSG00000059378,PARP12,64761
ENSG00000059573,ALDH18A1,5832
ENSG00000059588,TARBP1,6894
ENSG00000059691,GATB,5188
ENSG00000059758,CDK17,5128
ENSG00000059769,DNAJC25,548645
ENSG00000060069,CTDP1,9150
ENSG00000060138,YBX3,8531
ENSG00000060237,WNK1,65125
ENSG00000060339,CCAR1,55749
ENSG00000060491,OGFR,11054
ENSG00000060642,PIGV,55650
ENSG00000060688,SNRNP40,9410
ENSG00000060749,QSER1,79832
ENSG00000060762,MPC1,51660
ENSG00000060971,ACAA1,30
ENSG00000060982,BCAT1,586
ENSG00000061273,HDAC7,51564
ENSG00000061794,MRPS35,60488
ENSG00000061936,SFSWAP,6433
ENSG00000061938,TNK2,10188
ENSG00000061987,MON2,23041
ENSG00000062194,GPBP1,65056
ENSG00000062485,CS,1431
ENSG00000062582,MRPS24,64951
ENSG00000062598,ELMO2,63916
ENSG00000062650,WAPL,23063
ENSG00000062716,VMP1,81671
ENSG00000062725,APPBP2,10513
ENSG00000062822,POLD1,5424
ENSG00000063046,EIF4B,1975
ENSG00000063169,BICRA,29998
ENSG00000063176,SPHK2,56848
ENSG00000063177,RPL18,6141
ENSG00000063241,ISOC2,79763
ENSG00000063244,U2AF2,11338
ENSG00000063245,EPN1,29924
ENSG00000063322,MED29,55588
ENSG00000063587,ZNF275,10838
ENSG00000063601,MTMR1,8776
ENSG00000063854,HAGH,3029
ENSG00000063978,RNF4,6047
ENSG00000064012,CASP8,841
ENSG00000064102,INTS13,55726
ENSG00000064115,TM7SF3,51768
ENSG00000064313,TAF2,6873
ENSG00000064393,HIPK2,28996
ENSG00000064419,TNPO3,23534
ENSG00000064489,BORCS8-MEF2B,NA
ENSG00000064490,RFXANK,8625
ENSG00000064545,TMEM161A,54929
ENSG00000064601,CTSA,5476
ENSG00000064607,SUGP2,10147
ENSG00000064651,SLC12A2,6558
ENSG00000064666,CNN2,1265
ENSG00000064687,ABCA7,10347
ENSG00000064703,DDX20,11218
ENSG00000064726,BTBD1,53339
ENSG00000064932,SBNO2,22904
ENSG00000064933,PMS1,5378
ENSG00000064961,HMG20B,10362
ENSG00000064995,TAF11,6882
ENSG00000064999,ANKS1A,23294
ENSG00000065000,AP3D1,8943
ENSG00000065029,ZNF76,7629
ENSG00000065057,NTHL1,4913
ENSG00000065060,UHRF1BP1,54887
ENSG00000065135,GNAI3,2773
ENSG00000065150,IPO5,3843
ENSG00000065154,OAT,4942
ENSG00000065183,WDR3,10885
ENSG00000065243,PKN2,5586
ENSG00000065268,WDR18,57418
ENSG00000065308,TRAM2,9697
ENSG00000065328,MCM10,55388
ENSG00000065357,DGKA,1606
ENSG00000065413,ANKRD44,91526
ENSG00000065427,KARS,3735
ENSG00000065457,ADAT1,23536
ENSG00000065491,TBC1D22B,55633
ENSG00000065518,NDUFB4,4710
ENSG00000065526,SPEN,23013
ENSG00000065548,ZC3H15,55854
ENSG00000065559,MAP2K4,6416
ENSG00000065600,TMEM206,55248
ENSG00000065613,SLK,9748
ENSG00000065615,CYB5R4,51167
ENSG00000065675,PRKCQ,5588
ENSG00000065802,ASB1,51665
ENSG00000065809,FAM107B,83641
ENSG00000065833,ME1,4199
ENSG00000065882,TBC1D1,23216
ENSG00000065883,CDK13,8621
ENSG00000065911,MTHFD2,10797
ENSG00000065923,SLC9A7,84679
ENSG00000065978,YBX1,4904
ENSG00000066027,PPP2R5A,5525
ENSG00000066044,ELAVL1,1994
ENSG00000066056,TIE1,7075
ENSG00000066084,DIP2B,57609
ENSG00000066117,SMARCD1,6602
ENSG00000066135,KDM4A,9682
ENSG00000066136,NFYC,4802
ENSG00000066279,ASPM,259266
ENSG00000066322,ELOVL1,64834
ENSG00000066336,SPI1,6688
ENSG00000066379,ZNRD1,30834
ENSG00000066422,ZBTB11,27107
ENSG00000066427,ATXN3,4287
ENSG00000066455,GOLGA5,9950
ENSG00000066557,LRRC40,55631
ENSG00000066583,ISOC1,51015
ENSG00000066651,TRMT11,60487
ENSG00000066654,THUMPD1,55623
ENSG00000066697,MSANTD3,91283
ENSG00000066739,ATG2B,55102
ENSG00000066777,ARFGEF1,10565
ENSG00000066827,ZFAT,57623
ENSG00000066855,MTFR1,9650
ENSG00000066926,FECH,2235
ENSG00000066933,MYO9A,4649
ENSG00000067057,PFKP,5214
ENSG00000067064,IDI1,3422
ENSG00000067066,SP100,6672
ENSG00000067082,KLF6,1316
ENSG00000067113,PLPP1,8611
ENSG00000067141,NEO1,4756
ENSG00000067167,TRAM1,23471
ENSG00000067182,TNFRSF1A,7132
ENSG00000067208,EVI5,7813
ENSG00000067225,PKM,5315
ENSG00000067248,DHX29,54505
ENSG00000067334,DNTTIP2,30836
ENSG00000067365,METTL22,79091
ENSG00000067369,TP53BP1,7158
ENSG00000067533,RRP15,51018
ENSG00000067560,RHOA,387
ENSG00000067596,DHX8,1659
ENSG00000067606,PRKCZ,5590
ENSG00000067704,IARS2,55699
ENSG00000067829,IDH3G,3421
ENSG00000067900,ROCK1,6093
ENSG00000067955,CBFB,865
ENSG00000067992,PDK3,5165
ENSG00000068001,HYAL2,8692
ENSG00000068028,RASSF1,11186
ENSG00000068079,IFI35,3430
ENSG00000068097,HEATR6,63897
ENSG00000068120,COASY,80347
ENSG00000068137,PLEKHH3,79990
ENSG00000068305,MEF2A,4205
ENSG00000068308,OTUD5,55593
ENSG00000068323,TFE3,7030
ENSG00000068354,TBC1D25,4943
ENSG00000068366,ACSL4,2182
ENSG00000068383,INPP5A,3632
ENSG00000068394,GPKOW,27238
ENSG00000068400,GRIPAP1,56850
ENSG00000068438,FTSJ1,24140
ENSG00000068489,PRR11,55771
ENSG00000068650,ATP11A,23250
ENSG00000068654,POLR1A,25885
ENSG00000068697,LAPTM4A,9741
ENSG00000068724,TTC7A,57217
ENSG00000068745,IP6K2,51447
ENSG00000068784,SRBD1,55133
ENSG00000068796,KIF2A,3796
ENSG00000068878,PSME4,23198
ENSG00000068885,IFT80,57560
ENSG00000068903,SIRT2,22933
ENSG00000068912,ERLEC1,27248
ENSG00000069011,PITX1,5307
ENSG00000069020,MAST4,375449
ENSG00000069248,NUP133,55746
ENSG00000069275,NUCKS1,64710
ENSG00000069329,VPS35,55737
ENSG00000069345,DNAJA2,10294
ENSG00000069399,BCL3,602
ENSG00000069424,KCNAB2,8514
ENSG00000069493,CLEC2D,29121
ENSG00000069849,ATP1B3,483
ENSG00000069869,NEDD4,4734
ENSG00000069943,PIGB,9488
ENSG00000069956,MAPK6,5597
ENSG00000069966,GNB5,10681
ENSG00000069974,RAB27A,5873
ENSG00000069998,HDHD5,27440
ENSG00000070010,UFD1,7353
ENSG00000070047,PHRF1,57661
ENSG00000070061,ELP1,8518
ENSG00000070081,NUCB2,4925
ENSG00000070190,DAPP1,27071
ENSG00000070214,SLC44A1,23446
ENSG00000070269,TMEM260,54916
ENSG00000070366,SMG6,23293
ENSG00000070367,EXOC5,10640
ENSG00000070413,DGCR2,9993
ENSG00000070423,AC004156.1,55658
ENSG00000070444,MNT,4335
ENSG00000070476,ZXDC,79364
ENSG00000070495,JMJD6,23210
ENSG00000070501,POLB,5423
ENSG00000070540,WIPI1,55062
ENSG00000070610,GBA2,57704
ENSG00000070669,ASNS,440
ENSG00000070718,AP3M2,10947
ENSG00000070756,PABPC1,26986
ENSG00000070761,CFAP20,29105
ENSG00000070770,CSNK2A2,1459
ENSG00000070785,EIF2B3,8891
ENSG00000070814,TCOF1,6949
ENSG00000070831,CDC42,998
ENSG00000070882,OSBPL3,26031
ENSG00000070950,RAD18,56852
ENSG00000070961,ATP2B1,490
ENSG00000071082,RPL31,6160
ENSG00000071127,WDR1,9948
ENSG00000071189,SNX13,23161
ENSG00000071242,RPS6KA2,6196
ENSG00000071243,ING3,54556
ENSG00000071282,LMCD1,29995
ENSG00000071462,BUD23,114049
ENSG00000071537,SEL1L,6400
ENSG00000071539,TRIP13,9319
ENSG00000071553,ATP6AP1,537
ENSG00000071564,TCF3,6929
ENSG00000071626,DAZAP1,26528
ENSG00000071655,MBD3,53615
ENSG00000071794,HLTF,6596
ENSG00000071859,FAM50A,9130
ENSG00000071889,FAM3A,60343
ENSG00000071894,CPSF1,29894
ENSG00000071994,PDCD2,5134
ENSG00000072042,RDH11,51109
ENSG00000072062,PRKACA,5566
ENSG00000072121,ZFYVE26,23503
ENSG00000072210,ALDH3A2,224
ENSG00000072274,TFRC,7037
ENSG00000072310,SREBF1,6720
ENSG00000072364,AFF4,27125
ENSG00000072415,MPP5,64398
ENSG00000072501,SMC1A,8243
ENSG00000072506,HSD17B10,3028
ENSG00000072518,MARK2,2011
ENSG00000072571,HMMR,3161
ENSG00000072609,CHFR,55743
ENSG00000072736,NFATC3,4775
ENSG00000072756,TRNT1,51095
ENSG00000072778,ACADVL,37
ENSG00000072786,STK10,6793
ENSG00000072803,FBXW11,23291
ENSG00000072818,ACAP1,9744
ENSG00000072840,EVC,2121
ENSG00000072849,DERL2,51009
ENSG00000072864,NDE1,54820
ENSG00000072954,TMEM38A,79041
ENSG00000072958,AP1M1,8907
ENSG00000073050,XRCC1,7515
ENSG00000073060,SCARB1,949
ENSG00000073111,MCM2,4171
ENSG00000073417,PDE8A,5151
ENSG00000073464,CLCN4,1183
ENSG00000073536,NLE1,54475
ENSG00000073578,SDHA,6389
ENSG00000073584,SMARCE1,6605
ENSG00000073614,KDM5A,5927
ENSG00000073792,IGF2BP2,10644
ENSG00000073849,ST6GAL1,6480
ENSG00000073921,PICALM,8301
ENSG00000073969,NSF,4905
ENSG00000074071,MRPS34,65993
ENSG00000074201,CLNS1A,1207
ENSG00000074266,EED,8726
ENSG00000074319,TSG101,7251
ENSG00000074356,NCBP3,55421
ENSG00000074370,ATP2A3,489
ENSG00000074416,MGLL,11343
ENSG00000074582,BCS1L,617
ENSG00000074603,DPP8,54878
ENSG00000074657,ZNF532,55205
ENSG00000074695,LMAN1,3998
ENSG00000074696,HACD3,51495
ENSG00000074755,ZZEF1,23140
ENSG00000074800,ENO1,2023
ENSG00000074842,MYDGF,56005
ENSG00000074935,TUBE1,51175
ENSG00000075089,ACTR6,64431
ENSG00000075131,TIPIN,54962
ENSG00000075142,SRI,6717
ENSG00000075151,EIF4G3,8672
ENSG00000075188,NUP37,79023
ENSG00000075218,GTSE1,51512
ENSG00000075239,ACAT1,38
ENSG00000075240,GRAMD4,23151
ENSG00000075275,CELSR1,9620
ENSG00000075292,ZNF638,27332
ENSG00000075303,SLC25A40,55972
ENSG00000075336,TIMM21,29090
ENSG00000075399,VPS9D1,9605
ENSG00000075407,ZNF37A,7587
ENSG00000075413,MARK3,4140
ENSG00000075415,SLC25A3,5250
ENSG00000075420,FNDC3B,64778
ENSG00000075539,FRYL,285527
ENSG00000075568,TMEM131,23505
ENSG00000075624,ACTB,60
ENSG00000075702,WDR62,284403
ENSG00000075711,DLG1,1739
ENSG00000075785,RAB7A,7879
ENSG00000075790,BCAP29,55973
ENSG00000075856,SART3,9733
ENSG00000075884,ARHGAP15,55843
ENSG00000075914,EXOSC7,23016
ENSG00000075945,KIFAP3,22920
ENSG00000075975,MKRN2,23609
ENSG00000076003,MCM6,4175
ENSG00000076043,REXO2,25996
ENSG00000076053,RBM7,10179
ENSG00000076108,BAZ2A,11176
ENSG00000076201,PTPN23,25930
ENSG00000076242,MLH1,4292
ENSG00000076248,UNG,7374
ENSG00000076321,KLHL20,27252
ENSG00000076382,SPAG5,10615
